UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,1,2018,19,4209384,2132645,2076739,1569580,1521191,323764,318592,32430,31747,113730,114135,5401,5390,87740,85684,1649097,1598900,367526,362057,54584,53829,145231,144275,12368,11901,1645925,1605214,1145559,1110023,299120,295069,18066,17843,108736,109361,3783,3812,70661,69106,1209801,1172873,335089,330832,33257,33191,135307,134693,9111,8823,486720,471525,424021,411168,24644,23523,14364,13904,4994,4774,1618,1578,17079,16578,439296,426027,32437,31225,21327,20638,9924,9582,3257,3078
C,1,2018,20,4174868,2113239,2061629,1553000,1508602,319864,315878,32056,31276,119165,118056,5326,5320,83828,82497,1628865,1583215,361215,357100,53755,52935,149512,147364,11822,11590,1635119,1599980,1135990,1105406,296159,293050,17747,17813,114219,113352,3701,3799,67303,66560,1197049,1165700,329970,326983,32707,32964,139784,138083,8669,8596,478120,461649,417010,403196,23705,22828,14309,13463,4946,4704,1625,1521,16525,15937,431816,417515,31245,30117,21048,19971,9728,9281,3153,2994
C,1,2018,21,4224676,2137045,2087631,1574710,1528946,319118,317972,32145,31210,123438,123119,5488,5380,82146,81004,1649070,1601997,358926,357906,53894,52934,153305,152016,11941,11887,1656918,1627075,1155313,1126369,295536,295705,17901,17655,118625,118424,3813,3826,65730,65096,1214979,1185189,327878,328416,32672,32726,143963,142808,8764,8854,480127,460556,419397,402577,23582,22267,14244,13555,4813,4695,1675,1554,16416,15908,434091,416808,31048,29490,21222,20208,9342,9208,3177,3033
C,1,2018,22,4288953,2175767,2113186,1597168,1544480,330057,325112,32466,31174,130516,128115,5634,5817,79926,78488,1669144,1615005,368367,363524,54460,52960,159594,156042,11996,12306,1690908,1649111,1173197,1138429,306211,302549,18171,17566,125677,123349,3933,4155,63719,63063,1230633,1195253,337291,333837,33288,32804,150215,146911,8837,9219,484859,464075,423971,406051,23846,22563,14295,13608,4839,4766,1701,1662,16207,15425,438511,419752,31076,29687,21172,20156,9379,9131,3159,3087
C,1,2018,23,4385368,2226880,2158488,1626269,1568200,347021,342188,33111,32217,137004,132417,5852,6064,77623,77402,1695871,1637390,383584,379541,55076,54418,165271,160056,12429,12440,1736582,1692600,1197000,1160702,322729,319175,18822,18316,132125,127803,4145,4397,61761,62207,1252403,1216330,352229,349624,33952,34030,156064,151188,9212,9357,490298,465888,429269,407498,24292,23013,14289,13901,4879,4614,1707,1667,15862,15195,443468,421060,31355,29917,21124,20388,9207,8868,3217,3083
C,1,2018,24,4471933,2275996,2195937,1656709,1587797,361682,354080,34108,33112,143136,139599,6077,6089,74284,75260,1722901,1654781,396076,389712,55501,55398,170768,166492,12477,12533,1779166,1728051,1220731,1177939,337026,331145,19544,19292,138347,134872,4276,4417,59242,60386,1273568,1231746,364768,360012,34404,35163,161727,157644,9212,9440,496830,467886,435978,409858,24656,22935,14564,13820,4789,4727,1801,1672,15042,14874,449333,423035,31308,29700,21097,20235,9041,8848,3265,3093
C,1,2018,25,4598950,2344542,2254408,1705698,1629369,374517,363764,35732,33863,149051,147639,6256,6233,73288,73540,1770854,1694672,407047,397229,57745,56263,176724,174641,12643,12722,1836288,1779291,1259559,1212822,349416,340280,20487,19805,144164,142851,4455,4509,58207,59024,1311296,1265266,375294,367252,35802,35779,167789,165908,9461,9570,508254,475117,446139,416547,25101,23484,15245,14058,4887,4788,1801,1724,15081,14516,459558,429406,31753,29977,21943,20484,8935,8733,3182,3152
C,1,2018,26,4689771,2375143,2314628,1727590,1666257,377316,375506,36501,33702,156919,159239,6932,6645,69885,73279,1788888,1730367,407695,408485,57759,55810,183932,187312,13571,13539,1868761,1842198,1284624,1254643,351508,350224,20865,19979,151879,154022,4930,4847,54955,58483,1332735,1305771,375263,376453,35463,35612,174856,177897,10162,10255,506382,472430,442966,411614,25808,25282,15636,13723,5040,5217,2002,1798,14930,14796,456153,424596,32432,32032,22296,20198,9076,9415,3409,3284
C,1,2018,27,4781602,2417806,2363796,1766833,1705984,376461,378156,36206,33489,164235,169041,7216,6898,66855,70228,1825228,1767482,404323,409291,56692,54848,191228,196201,13748,13585,1906085,1893845,1319291,1296988,350247,352328,20254,19836,158918,163805,5079,5087,52296,55801,1364749,1345749,371746,376965,34205,34818,181993,186927,10211,10372,511721,469951,447542,408996,26214,25828,15952,13653,5317,5236,2137,1811,14559,14427,460479,421733,32577,32326,22487,20030,9235,9274,3537,3213
C,1,2018,28,4639328,2342926,2296402,1717475,1655408,359286,365382,34970,31906,162249,171470,7361,6695,61585,65541,1771457,1712656,384514,393972,54055,52065,187063,197030,13328,12966,1852498,1848000,1288386,1264943,334211,340660,19377,19035,157186,166316,5266,5001,48072,52045,1330346,1310254,353496,363154,32414,33153,178437,188226,9984,10030,490428,448402,429089,390465,25075,24722,15593,12871,5063,5154,2095,1694,13513,13496,441111,402402,31018,30818,21641,18912,8626,8804,3344,2936
