UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2018,19,4263956,2182637,2081319,1608600,1524026,329349,318888,32858,31772,116231,114285,6005,5543,89594,86805,1689920,1602612,374204,363069,55385,53865,148483,145039,13156,12238,1684096,1605076,1173629,1108876,304325,295021,18490,17880,111163,109459,4280,3964,72209,69876,1239353,1172277,341169,331402,34031,33171,138385,135225,9742,9084,498541,476243,434971,415150,25024,23867,14368,13892,5068,4826,1725,1579,17385,16929,450567,430335,33035,31667,21354,20694,10098,9814,3414,3154
P,7,2018,20,4278104,2191810,2086294,1613047,1524231,332390,321367,32980,31882,120381,118735,6071,5623,86941,84456,1691665,1600784,375550,363891,55359,53692,151496,148536,12906,12055,1696903,1616287,1180605,1113916,307868,298040,18454,18121,115455,113938,4414,4021,70107,68251,1244136,1175951,343371,333052,33914,33370,141758,139103,9702,8955,494907,470007,432442,410315,24522,23327,14526,13761,4926,4797,1657,1602,16834,16205,447529,424833,32179,30839,21445,20322,9738,9433,3204,3100
P,7,2018,21,4298378,2201069,2097309,1620012,1532787,332051,321982,32806,31400,125453,123023,6141,5541,84606,82576,1696546,1607254,373295,363003,55307,53516,155990,152211,12855,12072,1707804,1630891,1189030,1125176,307768,299225,18303,17797,120506,118309,4453,4009,67744,66375,1250488,1185106,341281,332811,33792,33198,146288,142940,9605,9030,493265,466418,430982,407611,24283,22757,14503,13603,4947,4714,1688,1532,16862,16201,446058,422148,32014,30192,21515,20318,9702,9271,3250,3042
P,7,2018,22,4340613,2227441,2113172,1639127,1543543,333022,323526,32971,31203,132930,128864,6302,5842,83089,80194,1714170,1615827,372868,362698,55739,53289,162960,157542,12957,12318,1734554,1647813,1207739,1136327,309034,301015,18541,17680,128089,124118,4557,4208,66594,64465,1268003,1194548,341445,332991,34282,33088,153520,148348,9727,9274,492887,465359,431388,407216,23988,22511,14430,13523,4841,4746,1745,1634,16495,15729,446167,421279,31423,29707,21457,20201,9440,9194,3230,3044
P,7,2018,23,4443948,2283885,2160063,1671273,1570337,351493,338804,33621,32018,139368,133843,6560,6190,81570,78871,1744395,1640879,390043,377155,56898,54267,168818,161988,13446,12800,1784100,1689933,1233613,1159053,326851,315632,19130,18203,134346,129150,4786,4482,65374,63413,1292227,1215862,358101,346843,35485,33966,159379,152929,10125,9661,499785,470130,437660,411284,24642,23172,14491,13815,5022,4693,1774,1708,16196,15458,452168,425017,31942,30312,21413,20301,9439,9059,3321,3139
P,7,2018,24,4540060,2333548,2206512,1699184,1594370,367903,354729,34297,32920,146255,140277,6651,6360,79258,77856,1769879,1663740,404391,391774,57662,55788,175228,168109,13668,13012,1827279,1732807,1255025,1179848,342887,331272,19799,18900,141384,135513,4906,4661,63278,62613,1311465,1235664,372317,361443,36220,35211,165923,159067,10372,9846,506269,473705,444159,414522,25016,23457,14498,14020,4871,4764,1745,1699,15980,15243,458414,428076,32074,30331,21442,20577,9305,9042,3296,3166
P,7,2018,25,4612875,2373783,2239092,1724534,1613796,379818,363412,35668,33638,150705,146994,6936,6429,76122,74823,1792186,1680191,414091,398202,58752,56392,178842,173960,13736,13008,1862831,1765672,1276326,1199035,354180,340013,20557,19636,145864,142212,5086,4709,60818,60067,1330404,1252364,381684,368091,36792,35856,169893,165195,10453,9864,510952,473420,448208,414761,25638,23399,15111,14002,4841,4782,1850,1720,15304,14756,461782,427827,32407,30111,21960,20536,8949,8765,3283,3144
P,7,2018,26,4736250,2429413,2306837,1766729,1660823,385956,373753,37097,34348,157624,156746,7181,6593,74826,74574,1832785,1726510,418258,407408,60575,57067,185794,184674,14152,13435,1909956,1826612,1311507,1241065,359888,348969,21407,20280,152614,151757,5191,4850,59349,59691,1363863,1293687,385325,375888,37936,36467,176671,175545,10705,10143,519457,480225,455222,419758,26068,24784,15690,14068,5010,4989,1990,1743,15477,14883,468922,432823,32933,31520,22639,20600,9123,9129,3447,3292
P,7,2018,27,4822867,2460095,2362772,1790725,1698425,387430,382068,37046,33849,165690,168596,7832,7015,71372,72819,1852787,1761928,417549,414760,59473,55904,193778,196725,15002,14033,1943890,1888576,1340020,1285864,360612,356257,21146,20065,160344,163221,5720,5200,56048,57969,1388584,1336325,383963,382177,36710,35625,184307,187135,11344,10780,516205,474196,450705,412561,26818,25811,15900,13784,5346,5375,2112,1815,15324,14850,464203,425603,33586,32583,22763,20279,9471,9590,3658,3253
P,7,2018,28,4811514,2447798,2363716,1789804,1701402,378680,379086,36395,33071,168504,174191,8016,7161,66399,68805,1847721,1761502,405899,409276,57178,54357,195179,200741,14716,13761,1936361,1898308,1342562,1296499,352353,353220,20455,19703,163163,168996,5781,5349,52047,54541,1387777,1343995,373278,376872,34851,34619,185974,191715,11058,10601,511437,465408,447242,404903,26327,25866,15940,13368,5341,5195,2235,1812,14352,14264,459944,417507,32621,32404,22327,19738,9205,9026,3658,3160
